Analogous Cell 1,Analogous Cell 2
MSa,MSp
MSp,MSa
Eal,Ear
Ear,Eal
Epl,Epr
Epr,Epl
Ca,Cp
Cp,Ca
Da,Dp
Dp,Da
P4'a,P4'p
P4'p,P4'a
Z2,Z3
Z3,Z2
ABplp,ABprp
ABprp,ABplp
ABplap,ABprap
ABprap,ABplap
ABplaap,ABpraap
ABpraap,ABplaap
ABalppp,ABpraaa
ABpraaa,ABalppp
ABplaaa,ABarpap
ABarpap,ABplaaa
ABarppa,ABarppp
ABarppp,ABarppa
ABarpaaaap,ABarpaaapa
ABarpaaapa,ABarpaaaap
ABarpaaaaal,ABarpaaaaar
ABarpaaaaar,ABarpaaaaal
ABarappp,ABalppap
ABalppap,ABarappp
ABarappa,ABalpapa
ABalpapa,ABarappa
ABarapap,ABalpapp
ABalpapp,ABarapap
ABarapaa,ABalpaaa
ABalpaaa,ABarapaa
ABaraapa,ABaraapp
ABaraapp,ABaraapa
ABaraaap,ABalpaap
ABalpaap,ABaraaap
ABaraaaaaa,ABaraaaaap
ABaraaaaap,ABaraaaaaa
ABalppaaa,ABalaappa
ABalaappa,ABalppaaa
ABalppaap,ABalaapap
ABalaapap,ABalppaap
ABalapap,ABalappp
ABalappp,ABalapap
ABalapaaa,ABalappap
ABalappap,ABalapaaa
ABalapaap,ABalaappp
ABalaappp,ABalapaap
ABalaaapa,ABalaaapp
ABalaaapp,ABalaaapa
ABalaapaa,ABalaaaal
ABalaaaal,ABalaapaa
ABalaaaarl,ABalaaaarr
ABalaaaarr,ABalaaaarl
