Parent	Rule	D1	D2	revisedXrule	revisedYrule	revisedZrule
MSaaapp	0	MSaaappa	MSaaappp	0.828578448	-0.392122507	-0.253590837
MSapapp	0	MSapappa	MSapappp	0.880010165	-0.186188426	-0.409796599
MSppapp	0	MSppappa	MSppappp	0.918708145	0.26107117	-0.188931988
Capap	0	Capapa	Capapp	0.534023305	-0.382615331	0.692552206
Cppap	0	Cppapa	Cppapp	0.363650703	0.615520158	0.567613208
P4	0	Z2	Z3	-0.832117829	0.35146792	-0.159528841
Capaa	0	Capaaa	Capaap	0.464208937	-0.475750576	0.67475739
Cppaa	0	Cppaaa	Cppaap	0.499568082	0.646565419	0.503967481
Eprp	0	Eprpa	Eprpp	0.595296495	0.17344518	0.736093969
Eplp	0	Eplpa	Eplpp	0.387069429	0.014119011	0.892998993
MSapaaa	0	MSapaaaa	MSapaaap	0.887999399	-0.221785023	-0.209595347
MSapapa	0	MSapapaa	MSapapap	0.875095409	-0.187380041	-0.274132241
MSppaaa	0	MSppaaaa	MSppaaap	0.864506908	0.139145234	-0.393397085
MSppapa	0	MSppapaa	MSppapap	0.907746466	0.172242223	-0.231783824
ABaraaaap	0	ABaraaaapa	ABaraaaapp	0.70707801	0.097153414	-0.603620027
ABarpaaap	0	ABarpaaapa	ABarpaaapp	0.931870829	0.078900902	-0.155198716
ABarppapp	0	ABarppappa	ABarppappp	0.695080246	-0.155676578	0.629351675
ABplppaaa	0	ABplppaaaa	ABplppaaap	0.876942143	0.327244173	-0.143312777
Cappp	0	Capppa	Capppp	0.122510609	-0.479696396	0.841642831
Epla	0	Eplaa	Eplap	0.818733879	0.07581292	0.501923058
ABalaaaal	0	ABalaaaala	ABalaaaalp	0.479913307	0.764307188	0.162071019
ABalaaaar	l0	ABalaaaarl	ABalaaaarr	0.21089521	-0.804245967	-0.081777106
ABalaaapa	l0	ABalaaapal	ABalaaapar	-0.004630869	-0.920918541	0.03624914
ABalaaapp	l0	ABalaaappl	ABalaaappr	0.485310989	-0.818456603	-0.094967072
ABalaapaa	0	ABalaapaaa	ABalaapaap	0.665053819	-0.579739243	0.265876035
ABalaapap	0	ABalaapapa	ABalaapapp	0.85476601	-0.307264314	-0.067078919
ABalaappa	0	ABalaappaa	ABalaappap	0.833305518	-0.429856694	-0.164867951
ABalaappp	0	ABalaapppa	ABalaapppp	0.791792849	-0.271410477	-0.202654753
ABalapaaa	0	ABalapaaaa	ABalapaaap	0.575124953	0.436505601	-0.523801187
ABalapaap	0	ABalapaapa	ABalapaapp	0.798433852	0.35154155	-0.222043766
ABalapapa	0	ABalapapaa	ABalapapap	0.712902483	0.457596662	-0.36124494
ABalapapp	0	ABalapappa	ABalapappp	0.873196336	-0.140683207	-0.027363214
ABalappaa	0	ABalappaaa	ABalappaap	0.582689802	0.028495309	-0.752517658
